"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.981948750E-1,7.245306111E-1,8.224079579E-1,-8.988538706E-1,1.417475833E0
6.082188750E-1,7.837881949E-1,7.926049921E-1,-9.422495663E-1,1.459582424E0
6.182428750E-1,6.914506464E-1,5.554933807E-1,-8.150743800E-1,1.204584218E0
6.282668750E-1,3.778828897E-1,1.405378282E-2,-5.767155576E-1,6.896331064E-1
6.382898750E-1,4.264057164E-1,-3.562433678E-1,-5.378912151E-2,5.582333219E-1
6.483138750E-1,5.952727928E-1,-4.616517091E-1,7.184339386E-1,1.040970375E0
6.583378750E-1,5.285947635E-1,-5.842488179E-1,1.203821250E0,1.438730241E0
6.683618750E-1,5.598846762E-1,-5.053096524E-1,1.186952033E0,1.406294359E0
6.783858750E-1,6.096630463E-1,-2.851505810E-1,8.790815109E-1,1.107151384E0
6.884098750E-1,5.822239271E-1,1.253029078E-2,1.966944873E-1,6.146791283E-1
6.984338750E-1,5.292836386E-1,4.683777612E-1,-6.971506584E-1,9.927426342E-1
7.084568750E-1,4.785294047E-1,8.046419241E-1,-1.206732579E0,1.527299098E0
7.184808750E-1,3.112664754E-1,8.982238331E-1,-1.284381849E0,1.597914142E0
7.285048750E-1,8.049167432E-2,5.686537090E-1,-7.235040593E-1,9.237445936E-1
7.385288750E-1,-1.049290523E-1,8.774331808E-3,-1.673940897E-2,1.066175536E-1
7.485528750E-1,-2.837506114E-1,-6.174197799E-1,5.427303708E-1,8.696423687E-1
7.585768750E-1,-3.874520043E-1,-1.081427917E0,6.296223342E-1,1.309973160E0
7.686008750E-1,-3.199409294E-1,-1.146126189E0,5.252255613E-1,1.300703398E0
7.786248750E-1,-1.721150585E-1,-9.463335541E-1,5.098561549E-1,1.088634047E0
7.886478750E-1,-9.230275758E-2,-5.238774857E-1,3.339450109E-1,6.280817537E-1
7.986718750E-1,-4.618598700E-2,-6.595191479E-2,-6.349023700E-2,1.025368746E-1
8.086958750E-1,6.302991495E-2,2.339877364E-1,-4.245505410E-1,4.888416849E-1
8.187198750E-1,1.325090164E-1,2.974066374E-1,-5.813962537E-1,6.663564746E-1
8.287438750E-1,1.272982702E-1,1.280642554E-1,-5.562427014E-1,5.848172757E-1
8.387678750E-1,-1.589799464E-1,-2.565971652E-1,-4.570505351E-1,5.477334389E-1
8.487918750E-1,-2.789883174E0,-2.148383975E-2,2.882432318E0,4.011524118E0
8.588148750E-1,-7.307009293E0,1.701685351E0,1.165216061E1,1.385860616E1
8.688388750E-1,-3.074054054E0,9.246409687E-1,-5.083206761E-1,3.250101407E0
8.788628750E-1,-2.564426817E0,1.893641254E-1,-5.036107439E-1,2.620260952E0
8.888868750E-1,-3.563079064E-1,-1.523389712E-1,1.227256891E0,1.286981725E0
8.989108750E-1,1.806775749E-1,-7.250135180E-1,8.095364821E-1,1.101652533E0
9.089348750E-1,3.210633755E-1,-9.551537865E-1,-2.152974039E-1,1.030414198E0
9.189588750E-1,6.688746929E-1,-1.036564570E0,-1.034081842E0,1.609715726E0
9.289828750E-1,5.817130266E-1,-7.495042884E-1,-4.415606761E-1,1.046481034E0
9.390058750E-1,1.212878441E-1,-1.989670077E-1,8.574655241E-1,8.885638617E-1
9.490298750E-1,-3.055538553E-1,-3.071811354E-1,2.972028619E-1,5.254074129E-1
9.590538750E-1,-3.540412333E-1,-3.078190666E-1,-3.008257967E-1,5.573095483E-1
9.690778750E-1,-2.678011247E-1,-2.523862928E-1,-8.487163353E-1,9.250598364E-1
9.791018750E-1,-1.895676816E-1,-1.522533095E-1,-1.345841348E0,1.367627840E0
9.891258750E-1,-1.437865047E-1,2.362713665E-2,-1.701457309E0,1.707685502E0
9.991498750E-1,-3.443061217E-2,1.304522583E-1,-1.907758772E0,1.912523670E0
1.009172875E0,2.972186311E-2,7.287034035E-2,-2.046070565E0,2.047583511E0
1.019196875E0,1.979627850E-2,-8.410751939E-2,-1.926770993E0,1.928707450E0
1.029220875E0,2.183428897E-2,-2.489788279E-1,-1.625344103E0,1.644448432E0
1.039244875E0,1.101562439E-2,-3.921688069E-1,-1.332069985E0,1.388642561E0
1.049268875E0,-4.351008184E-2,-4.950464733E-1,-1.035605042E0,1.148669640E0
1.059292875E0,-6.574274892E-2,-5.108338094E-1,-7.044854057E-1,8.726814864E-1
1.069316875E0,-9.110729434E-2,-4.886316392E-1,-3.952939975E-1,6.350738243E-1
1.079340875E0,-1.175846745E-1,-4.507954761E-1,-9.288419008E-2,4.750475658E-1
1.089363875E0,-1.407161043E-1,-2.788032822E-1,5.394582689E-2,3.169265600E-1
1.099387875E0,-1.315011666E-1,-4.649559706E-3,2.710301399E-2,1.343456310E-1
1.109411875E0,-1.298253728E-1,2.985988846E-1,-8.037290275E-2,3.353740074E-1
1.119435875E0,-5.414026508E-2,5.366350870E-1,-2.450164622E-1,5.924031158E-1
1.129459875E0,7.751294735E-2,6.799474190E-1,-4.199213004E-1,8.029138485E-1
1.139483875E0,1.963607210E-1,7.339365153E-1,-5.290660125E-1,9.258137971E-1
1.149507875E0,3.789350230E-1,7.471306112E-1,-5.556521326E-1,1.005258770E0
1.159530875E0,4.259205802E-1,6.500957751E-1,-3.947624856E-1,8.717053846E-1
1.169559250E0,3.796336191E-1,4.838607498E-1,-1.226237136E-1,6.271199925E-1
1.179583250E0,2.873666940E-1,3.463349685E-1,1.297684264E-1,4.683667065E-1
1.189607250E0,1.532771935E-1,2.655587541E-1,3.450371790E-1,4.615907330E-1
1.199631250E0,3.849002793E-2,2.195195322E-1,5.126119477E-1,5.589645035E-1
1.209655250E0,-1.562843800E-2,1.763176717E-1,6.248697174E-1,6.494569525E-1
1.219679250E0,-8.154965490E-3,1.481965113E-1,7.076183438E-1,7.230162031E-1
1.229702250E0,1.946695235E-2,1.066141833E-1,8.126337522E-1,8.198287392E-1
1.239726250E0,4.404703896E-2,2.300046131E-2,9.858668715E-1,9.871183572E-1
1.249750250E0,4.138191462E-2,-3.125950724E-2,1.189334189E0,1.190464377E0
1.259774250E0,3.838145245E-2,-5.021632656E-2,1.336917912E0,1.338411117E0
1.269798250E0,7.226877149E-2,-4.452099234E-2,1.361272150E0,1.363915965E0
1.279822250E0,1.130256553E-1,2.590316534E-3,1.208410730E0,1.213687769E0
1.289846250E0,9.771289386E-2,1.435014895E-1,8.289194173E-1,8.469048869E-1
1.299870250E0,4.776517376E-3,2.390347606E-1,5.122932744E-1,5.653360336E-1
1.309893250E0,-1.053541449E-1,2.404971492E-1,3.184463811E-1,4.127305080E-1
1.319917250E0,-1.950063414E-1,2.120187239E-1,1.467154115E-1,3.232720595E-1
1.329941250E0,-2.605199525E-1,2.007758439E-1,-8.162713051E-3,3.290109649E-1
1.339965250E0,-2.594331927E-1,2.426002465E-1,-1.673660231E-1,3.926472294E-1
1.349989250E0,-2.340635858E-1,3.002157129E-1,-2.763820964E-1,4.704277837E-1
1.360013250E0,-2.719794171E-1,2.867147843E-1,-2.647245026E-1,4.756650430E-1
1.370037250E0,-3.053556895E-1,2.656947018E-1,-1.827219808E-1,4.440980680E-1
1.380060250E0,-3.487784468E-1,2.183480425E-1,-7.407428205E-2,4.181019875E-1
1.390084250E0,-3.860256491E-1,1.891737255E-1,1.643652320E-2,4.302007200E-1
1.400108250E0,-3.559382162E-1,1.724030339E-1,7.510982394E-2,4.025621760E-1
1.410132250E0,-2.983502501E-1,1.809026197E-1,4.696074307E-2,3.520567297E-1
1.420156250E0,-1.942831687E-1,2.145426015E-1,-3.615801215E-2,2.916879828E-1
1.430180250E0,-7.895409415E-2,2.550801051E-1,-1.688599867E-1,3.159324359E-1
1.440204250E0,-9.182851184E-3,2.706847887E-1,-2.890845877E-1,3.961369441E-1
1.450227250E0,7.539279263E-2,2.709257671E-1,-3.472778320E-1,4.468632197E-1
1.460251250E0,1.949087659E-1,2.749368109E-1,-3.766676921E-1,5.054287559E-1
1.470275250E0,2.649094756E-1,2.183180755E-1,-2.652127451E-1,4.337944358E-1
1.480299250E0,3.087353984E-1,1.118415941E-1,-9.111072958E-2,3.407744906E-1
1.490323250E0,3.259169300E-1,1.078226566E-2,7.508935869E-2,3.346289203E-1
1.500347250E0,3.095587960E-1,-1.006932197E-1,2.028206152E-1,3.835387524E-1
1.510371250E0,3.024433376E-1,-1.921640646E-1,2.300920290E-1,4.258419214E-1
1.520395250E0,2.828623645E-1,-2.430974791E-1,2.407392240E-1,4.439176450E-1
1.530418250E0,2.647976110E-1,-2.873191671E-1,2.208797407E-1,4.488406604E-1
1.540442250E0,2.470312300E-1,-3.099095924E-1,1.884978604E-1,4.388619686E-1
1.550466250E0,2.127001804E-1,-3.332483882E-1,1.624011523E-1,4.273990983E-1
1.560490250E0,1.562450574E-1,-3.454184175E-1,1.421206695E-1,4.048761363E-1
