"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.297468750E-1,-2.856992837E0,-3.405754903E0,-7.566042116E0,8.775338616E0
6.397708750E-1,-2.180644526E0,-3.137662989E0,-7.403758492E0,8.331613253E0
6.497938750E-1,-2.681356805E0,-4.157557147E0,-7.798566586E0,9.235399101E0
6.598168750E-1,-3.201955757E0,-4.669356917E0,-8.530008241E0,1.023799078E1
6.698408750E-1,-3.532440385E0,-4.650670677E0,-9.156993481E0,1.086081960E1
6.798638750E-1,-3.913975300E0,-4.635093987E0,-9.148730196E0,1.097736595E1
6.898878750E-1,-3.643908196E0,-4.414958889E0,-8.562453271E0,1.029978325E1
6.999108750E-1,-2.945619377E0,-4.040897594E0,-7.480244751E0,8.997754632E0
7.099338750E-1,-2.603426576E0,-3.941363950E0,-7.068003768E0,8.501109163E0
7.199578750E-1,-2.387124767E0,-4.158113510E0,-7.399344429E0,8.816947919E0
7.299808750E-1,-2.214100539E0,-4.334527807E0,-7.612370190E0,9.035405493E0
7.400038750E-1,-1.790388928E0,-4.319595480E0,-7.594264871E0,8.918366250E0
7.500278750E-1,-1.320588100E0,-4.285241041E0,-7.312484626E0,8.577859588E0
7.600508750E-1,-8.933048630E-1,-4.313369072E0,-6.986552639E0,8.259241134E0
7.700748750E-1,-5.175236819E-1,-4.251549093E0,-6.502186836E0,7.786008868E0
7.800978750E-1,-5.709235250E-1,-3.428876840E0,-5.756193216E0,6.724352043E0
7.901208750E-1,-7.172585021E-1,-2.149678256E0,-4.814548252E0,5.321226478E0
8.001448750E-1,-4.955707493E-1,-1.078254341E0,-2.389423161E0,2.667876653E0
8.101678750E-1,-6.892018072E-2,-7.513672113E-2,1.577901549E0,1.581192214E0
8.201918750E-1,2.780696759E-1,1.337708455E0,5.633466007E0,5.796785825E0
8.302148750E-1,6.746179012E-1,2.917047835E0,9.729413674E0,1.017967425E1
8.402378750E-1,1.238974126E0,4.000288681E0,1.375702493E1,1.438030255E1
8.502618750E-1,2.065536531E0,4.273555673E0,1.671833444E1,1.737908011E1
8.602848750E-1,2.774223161E0,4.224703064E0,1.797954494E1,1.867641471E1
8.703078750E-1,3.246692804E0,4.432935569E0,1.838163457E1,1.918531786E1
8.803318750E-1,3.978312213E0,4.404254684E0,1.797529284E1,1.892975383E1
8.903548750E-1,4.539218654E0,4.131061659E0,1.656038828E1,1.766116180E1
9.003788750E-1,4.412007800E0,3.901847005E0,1.455815780E1,1.570446374E1
9.104018750E-1,3.813521596E0,3.728216860E0,1.258998150E1,1.367297269E1
9.204248750E-1,3.128123842E0,3.653698189E0,1.082062808E1,1.184148053E1
9.304488750E-1,2.588272932E0,3.547704834E0,8.574895561E0,9.634012676E0
9.404718750E-1,2.127647409E0,3.286457671E0,6.087769520E0,7.237998704E0
9.504958750E-1,1.706162710E0,2.915978379E0,3.678666970E0,4.994648313E0
9.605188750E-1,1.310746652E0,2.517607284E0,1.476094508E0,3.199259011E0
9.705418750E-1,9.795245428E-1,2.047380049E0,-5.909348166E-1,2.345301122E0
9.805658750E-1,5.935761501E-1,1.483343594E0,-2.330158707E0,2.825292987E0
9.905888750E-1,2.343662705E-1,9.170185384E-1,-3.859284537E0,3.973654199E0
1.000612875E0,-9.733494446E-2,4.906091675E-1,-5.199580386E0,5.223581878E0
1.010635875E0,-3.324954861E-1,6.720818907E-2,-6.282252005E0,6.291403695E0
1.020658875E0,-5.544712143E-1,-3.011351144E-1,-7.153606421E0,7.181379081E0
1.030682875E0,-7.858152053E-1,-5.078265864E-1,-7.841551223E0,7.897171580E0
1.040705875E0,-1.006064397E0,-6.590791449E-1,-8.426355234E0,8.511757364E0
1.050728875E0,-1.154028993E0,-8.475170714E-1,-8.942966092E0,9.056859866E0
1.060752875E0,-1.171316871E0,-1.020420115E0,-9.260300333E0,9.389696623E0
1.070775875E0,-1.266240277E0,-1.094576843E0,-9.371833048E0,9.520121721E0
1.080799875E0,-1.485465256E0,-1.064885559E0,-9.254311030E0,9.433072719E0
1.090822875E0,-1.655223667E0,-1.020596994E0,-8.976685231E0,9.184893105E0
1.100845875E0,-1.712358712E0,-7.888826546E-1,-8.601246623E0,8.805450112E0
1.110869875E0,-1.612112439E0,-6.838467810E-1,-7.692441961E0,7.889246875E0
1.120892875E0,-1.300678623E0,-8.058483508E-1,-6.220766779E0,6.406176376E0
1.130916875E0,-6.396523556E-1,-1.082137769E0,-4.324966148E0,4.503943768E0
1.140939875E0,2.672026987E-1,-1.405496396E0,-2.350222843E0,2.751429594E0
1.150962875E0,1.402852870E0,-1.834787567E0,-5.568186522E-1,2.375813250E0
1.160986875E0,2.599007835E0,-2.306569870E0,9.985249239E-1,3.615543986E0
1.171009875E0,3.662680390E0,-2.447743875E0,2.204828902E0,4.926250927E0
1.181033875E0,4.350559703E0,-2.133794587E0,3.006948191E0,5.702822678E0
1.191056875E0,4.561807033E0,-1.526772326E0,3.386756423E0,5.883131497E0
1.201079875E0,4.434257040E0,-8.399194917E-1,3.601383736E0,5.773912457E0
1.211103875E0,3.955249041E0,-1.663132319E-1,3.761755904E0,5.460994648E0
1.221126875E0,3.172678163E0,5.766535771E-1,3.541848555E0,4.789896373E0
1.231150875E0,2.459175181E0,1.369360895E0,3.457429379E0,4.458307947E0
1.241173875E0,1.877090564E0,2.171962287E0,4.162264448E0,5.056217411E0
1.251196875E0,1.517693208E0,3.125744902E0,5.215222272E0,6.266754919E0
1.261220875E0,1.592354551E0,4.013358962E0,6.679442255E0,7.953464152E0
1.271243875E0,1.975826355E0,4.587695288E0,8.859655548E0,1.017075879E1
1.281267875E0,2.376354049E0,4.810388542E0,1.090552965E1,1.215390774E1
1.291290875E0,2.686445344E0,4.913710012E0,1.198901871E1,1.323246403E1
1.301313875E0,2.398248364E0,5.288750424E0,1.230351705E1,1.360510963E1
1.311337875E0,1.490483629E0,5.784057537E0,1.200972253E1,1.341306446E1
1.321360875E0,2.399295308E-1,6.764475973E0,1.145430253E1,1.330476410E1
1.331383875E0,-8.201817767E-1,8.028125934E0,1.165630512E1,1.417719836E1
1.341408125E0,-1.596215029E0,9.157720290E0,1.180142833E1,1.502283109E1
1.351431125E0,-2.082227700E0,9.492946426E0,1.122649501E1,1.484876743E1
1.361455125E0,-2.287063266E0,8.811788487E0,1.045714761E1,1.386471099E1
1.371478125E0,-2.322358814E0,7.741269135E0,9.460251719E0,1.244254640E1
1.381501125E0,-2.227723090E0,6.428087411E0,7.824951562E0,1.036884395E1
1.391525125E0,-2.229769908E0,4.740801998E0,5.753653770E0,7.781491447E0
1.401548125E0,-2.192530161E0,2.946839399E0,3.634178429E0,5.167040140E0
1.411572125E0,-2.073263041E0,1.277776249E0,1.532466930E0,2.877427092E0
1.421595125E0,-2.021110994E0,-3.365961385E-1,-7.884677947E-1,2.195419794E0
1.431618125E0,-2.019200270E0,-1.869290525E0,-3.116751884E0,4.157590541E0
1.441642125E0,-2.180618505E0,-3.132124214E0,-4.853091928E0,6.173961485E0
1.451665125E0,-2.325691727E0,-4.056906978E0,-6.241560062E0,7.799000464E0
1.461689125E0,-2.381350934E0,-4.735756436E0,-7.389674889E0,9.094257323E0
1.471712125E0,-2.311845958E0,-5.360965877E0,-8.249923103E0,1.010672143E1
1.481735125E0,-2.318020180E0,-5.968980995E0,-8.847763481E0,1.092176132E1
1.491759125E0,-2.389386178E0,-6.444130417E0,-9.193794687E0,1.147875620E1
