"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.610291390E0,-6.245798111E0,1.651299715E0,-7.132474899E0,9.623356118E0
1.630227587E0,-9.902692795E0,-4.645979404E-1,-1.066106510E1,1.455807284E1
1.650180161E0,-1.131477451E1,-1.315203667E0,-1.194817448E1,1.650796039E1
1.670143416E0,-1.004411507E1,-1.095372915E0,-1.209591484E1,1.576055980E1
1.690094546E0,-8.016126633E0,-9.915359020E-1,-1.070075607E1,1.340699855E1
1.710040386E0,-6.794577599E0,-1.423555851E0,-8.577290535E0,1.103461413E1
1.729978678E0,-7.871449471E0,-2.669480801E0,-8.832431793E0,1.212838389E1
1.749935911E0,-9.961042404E0,-3.547789097E0,-1.023380852E1,1.471529850E1
1.769897579E0,-1.073909187E1,-3.785886765E0,-1.117454624E1,1.595404389E1
1.789839147E0,-8.248123169E0,-2.875682354E0,-1.057595539E1,1.371684793E1
1.809789626E0,-4.506777763E0,-8.173269033E-1,-9.341085434E0,1.040360256E1
1.829734103E0,-2.190227032E0,8.485006094E-1,-7.291101456E0,7.660104971E0
1.849691397E0,-1.934507847E0,1.414225221E0,-6.538802624E0,6.964071606E0
1.869651214E0,-1.711559296E0,1.336049676E0,-6.399827957E0,6.758125616E0
1.889602404E0,1.612419128E0,2.413059711E0,-5.465853214E0,6.188562351E0
1.909534227E0,6.034706593E0,4.322544575E0,2.188129425E-1,7.426301527E0
1.929500798E0,8.142190933E0,2.006333828E0,1.366898918E1,1.603626870E1
1.949454247E0,1.053606987E1,-3.647268414E-1,2.521562958E1,2.733074768E1
1.969404380E0,1.274614143E1,-5.359148979E-1,3.204608917E1,3.449207384E1
1.989355713E0,8.040558815E0,-2.847932339E0,2.612466812E1,2.748198663E1
2.009306476E0,3.829889059E0,-4.891769886E-1,1.480142879E1,1.529671987E1
2.029256182E0,3.834555387E0,3.036516666E0,8.804507256E0,1.007192119E1
2.049199336E0,2.810627699E0,3.738119125E0,4.512187958E0,6.498692393E0
2.069159052E0,2.372775078E0,3.513061047E0,2.789794922E0,5.074900511E0
2.089109693E0,9.370923042E-2,1.500755787E0,-3.163204193E-1,1.536589717E0
2.109068900E0,-4.314895630E0,4.279538393E-1,-5.801423073E0,7.242788031E0
2.129002065E0,-6.876410484E0,-1.646465182E0,-6.404292107E0,9.539959441E0
2.148959705E0,-7.880348682E0,-2.693645000E0,-5.689129829E0,1.008572342E1
2.168911954E0,-6.826302528E0,-2.721036911E0,-6.173847198E0,9.597855870E0
