"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.491356210E0,1.338822246E-1,2.111152887E0,-1.405995369E1,1.421819921E1
1.510582096E0,8.949460983E-1,2.925133705E0,-1.592390442E1,1.621505682E1
1.529883450E0,3.073418140E-2,1.866150737E0,-1.082406616E1,1.098380041E1
1.549218971E0,-2.425670385E0,1.598469615E0,-3.672387600E0,4.682457967E0
1.568506887E0,-3.503005981E0,2.414475918E0,-2.870652676E0,5.132386545E0
1.587795846E0,-1.639297009E0,2.802646637E0,-9.571594238E0,1.010730128E1
1.607035012E0,1.255388618E0,2.952675581E0,-1.490548134E1,1.524689042E1
1.626313085E0,2.093297243E-1,2.190896273E0,-1.248469543E1,1.267720259E1
1.645658450E0,-9.653713107E-1,1.541021466E0,-6.258961201E0,6.517766814E0
1.664946366E0,-1.648638010E0,4.358661175E-1,-4.865135670E0,5.155340110E0
1.684186575E0,-2.059592247E0,-1.306183934E-1,-6.477866173E0,6.798656598E0
1.703474491E0,-2.090549469E0,-1.279179335E0,-5.707750797E0,6.211691880E0
1.722811158E0,-3.632580757E0,-2.473780632E0,-9.181251526E-1,4.489787007E0
1.742084231E0,-2.514883995E0,-1.651168108E0,1.486670494E0,3.355769180E0
1.761386939E0,-1.265107632E0,-7.494947910E-1,7.009719849E0,7.162290982E0
1.780626054E0,-3.118639469E0,1.870638609E0,1.661170197E1,1.700511226E1
1.799903710E0,-1.710826516E0,4.969027519E0,8.691378593E0,1.015668370E1
1.819249491E0,1.038946867E0,-8.424379230E-1,1.207999992E1,1.215382699E1
1.838537408E0,-4.282581329E0,-9.269973755E0,2.394035721E1,2.602717079E1
1.857764179E0,-2.849661827E0,-7.407176495E0,2.510113907E1,2.632591914E1
1.877065533E0,5.186863422E0,4.569395781E-1,1.958340836E1,2.026381575E1
1.896402148E0,1.108544636E1,5.311787605E0,1.098698139E1,1.648684229E1
1.915675273E0,8.162983894E0,7.630158424E0,2.544869423E0,1.145992949E1
1.934978033E0,4.071140766E0,6.084304810E0,-3.938942909E0,8.313135593E0
1.954217096E0,3.644669056E-1,2.349217415E0,-4.711423874E0,5.277231614E0
1.973494752E0,-3.400127888E0,-5.543889403E-1,-6.115322113E0,7.018930210E0
1.992840273E0,-4.784337044E0,-1.125476956E0,-9.008129120E0,1.026172352E1
2.012080741E0,-2.559688091E0,-1.639018536E0,-8.718671799E0,9.233288841E0
2.031355221E0,-1.684340000E0,-9.550817609E-1,-5.107388496E0,5.462105790E0
2.050656523E0,-3.198181629E0,1.267331600E0,-4.237166882E0,5.457845573E0
2.069992096E0,-1.647755146E0,1.281408548E0,-8.522314072E0,8.774220309E0
2.089267721E0,-3.247207701E-1,2.602662802E0,-1.191061401E1,1.219598391E1
2.108568971E0,6.240530610E-1,1.442851782E0,-1.409617043E1,1.418355682E1
2.127808085E0,7.520576715E-1,6.340157986E-1,-1.166177464E1,1.170318565E1
2.147085741E0,2.556855381E-1,-8.031415939E-2,-6.622360706E0,6.627781438E0
2.166431575E0,5.578880310E-1,-6.809383631E-1,-4.662936687E0,4.745302378E0
2.185719439E0,2.052486658E0,-6.898697615E-1,-5.690159798E0,6.088229652E0
