"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.559122083E-1,2.101629639E-1,2.302062836E0,1.112741043E1,1.136498679E1
6.659372083E-1,2.665956116E-1,2.102677460E0,1.128907425E1,1.148631895E1
6.759612083E-1,3.284170532E-1,1.783690796E0,1.096305222E1,1.111206212E1
6.859852083E-1,3.947291565E-1,1.458117828E0,1.064256866E1,1.074924121E1
6.960092083E-1,4.927752686E-1,1.144669647E0,1.038929535E1,1.046377341E1
7.060332083E-1,4.598437500E-1,1.015488281E0,1.012524445E1,1.018642468E1
7.160572083E-1,4.035607910E-1,1.118174744E0,9.720635834E0,9.793055554E0
7.260822083E-1,4.673281860E-1,1.147513733E0,9.416468353E0,9.497634424E0
7.361062083E-1,3.861968994E-1,1.011147308E0,9.233399048E0,9.296624382E0
7.461302083E-1,2.186952209E-1,9.286688232E-1,9.367370453E0,9.415831487E0
7.561542083E-1,1.697470093E-1,1.025068359E0,9.562863922E0,9.619144743E0
7.661782083E-1,2.206411743E-1,1.166823578E0,9.494007111E0,9.567984678E0
7.762032083E-1,2.142045593E-1,1.263223114E0,9.588460693E0,9.673685683E0
7.862272083E-1,4.999603271E-2,1.318308563E0,9.724677429E0,9.813755050E0
7.962512083E-1,1.152603149E-2,1.349743195E0,9.819430389E0,9.911768395E0
8.062752083E-1,1.161584473E-1,1.461860046E0,9.655670929E0,9.766396913E0
8.162992083E-1,3.073109436E-1,1.621278534E0,9.356293488E0,9.500695339E0
8.263242083E-1,5.816903687E-1,1.792672119E0,9.097781067E0,9.290944912E0
8.363482083E-1,7.464976501E-1,1.936972046E0,8.881630554E0,9.120991215E0
8.463722083E-1,7.267387390E-1,2.070045319E0,8.684041443E0,8.956886323E0
8.563962083E-1,6.429130554E-1,2.232457581E0,8.664132843E0,8.970195202E0
8.664202083E-1,6.081852722E-1,2.280807037E0,8.589288483E0,8.907740831E0
8.764442083E-1,5.324427795E-1,2.279010773E0,8.616382141E0,8.928573605E0
8.864692083E-1,4.068539429E-1,2.298769684E0,8.847202148E0,9.150019565E0
8.964932083E-1,2.703378296E-1,2.353256378E0,9.015302582E0,9.321297054E0
9.065172083E-1,1.556762695E-1,2.448159027E0,8.957822113E0,9.287642044E0
9.165412083E-1,5.568420410E-2,2.467917938E0,8.994645538E0,9.327237964E0
9.265652083E-1,4.984634399E-2,2.523901520E0,9.398356018E0,9.731477759E0
9.365902083E-1,6.077362061E-2,2.545007629E0,9.541907501E0,9.875664840E0
9.466142083E-1,9.864486694E-2,2.520009613E0,9.322164459E0,9.657273397E0
9.566382083E-1,1.811233521E-1,2.491269379E0,9.228758698E0,9.560816695E0
9.666622083E-1,2.891986084E-1,2.507136383E0,9.039103088E0,9.384815039E0
9.766862083E-1,2.067201233E-1,2.562221832E0,8.868308258E0,9.233342043E0
9.867102083E-1,1.651066589E-1,2.649939423E0,9.014554138E0,9.397426534E0
9.967352083E-1,1.597178650E-1,2.723586273E0,9.346563721E0,9.736615704E0
1.006759208E0,1.658551025E-1,2.845881958E0,9.408235474E0,9.830638167E0
1.016783208E0,2.240840149E-1,3.046614532E0,9.340875549E0,9.827717425E0
1.026807208E0,2.023791504E-1,3.229234772E0,9.320667572E0,9.866294062E0
1.036831208E0,1.398092651E-1,3.275039520E0,9.432485046E0,9.985850221E0
1.046856208E0,4.909790039E-2,3.220103760E0,9.657167816E0,1.017999848E1
1.056880208E0,-2.694396973E-2,3.254532166E0,9.865684204E0,1.038866837E1
1.066904208E0,-1.445993042E-1,3.292553101E0,9.807155914E0,1.034611628E1
1.076928208E0,-1.902543640E-1,3.250340881E0,9.719438324E0,1.025028750E1
1.086952208E0,-2.439926147E-1,3.139720917E0,9.697583771E0,1.019610273E1
1.096976208E0,-2.754272461E-1,2.966980133E0,9.800270233E0,1.024324792E1
1.107001208E0,-2.995271301E-1,2.906954956E0,1.006447083E1,1.048015633E1
1.117025208E0,-2.782713318E-1,2.893782349E0,1.024050476E1,1.064515613E1
1.127049208E0,-3.567082214E-1,2.745291138E0,1.032403107E1,1.068875492E1
1.137073208E0,-4.087998962E-1,2.614912262E0,1.041159897E1,1.074273134E1
1.147097208E0,-5.571414185E-1,2.702031097E0,1.055664734E1,1.091119524E1
1.157122208E0,-4.894821167E-1,3.105442200E0,1.044797333E1,1.091070624E1
1.167146208E0,-2.005828857E-1,3.088677063E0,9.891280975E0,1.036424618E1
1.177170208E0,1.023870850E-1,2.595452728E0,9.581425323E0,9.927263934E0
1.187194208E0,1.691482544E-1,1.890418854E0,9.282197571E0,9.474253866E0
1.197218208E0,1.930984497E-2,1.586850128E0,9.277257843E0,9.412012499E0
1.207243208E0,-2.571652222E-1,1.944306793E0,9.716594238E0,9.912550956E0
1.217267208E0,-6.319857788E-1,2.840193787E0,1.059391983E1,1.098622975E1
1.227291208E0,-6.819818115E-1,3.085533600E0,1.143502075E1,1.186361313E1
1.237315208E0,-7.021897888E-1,2.572849731E0,1.157902130E1,1.188218669E1
1.247339208E0,-3.362008667E-1,2.021695862E0,1.177511353E1,1.195213720E1
1.257363208E0,1.288819885E-1,1.727856903E0,1.174113419E1,1.186829103E1
1.267388208E0,4.947212219E-1,1.520388336E0,1.115076187E1,1.126480449E1
1.277412208E0,5.839356995E-1,1.320104828E0,1.056922119E1,1.066733773E1
1.287436208E0,7.247927856E-1,8.008346558E-1,1.068987030E1,1.074430025E1
1.297460208E0,9.229806519E-1,6.746470642E-1,1.117935242E1,1.123765823E1
1.307484208E0,8.845106506E-1,9.852511597E-1,1.107187592E1,1.115076299E1
1.317509208E0,4.562512207E-1,1.469793549E0,1.069825287E1,1.080837974E1
1.327533208E0,1.272354126E-1,1.934427338E0,1.052506302E1,1.070210958E1
1.337557208E0,3.981719971E-2,2.200573883E0,1.028825546E1,1.052104136E1
1.347581208E0,-2.185455322E-2,2.255359955E0,1.007629623E1,1.032564148E1
1.357605208E0,-1.646575928E-2,2.240989838E0,9.997709656E0,1.024580426E1
1.367630208E0,-2.008822632E-1,1.999990997E0,9.743687897E0,9.948857799E0
1.377654208E0,-7.384144592E-1,1.763482819E0,9.121431885E0,9.319637718E0
1.387678208E0,-8.538244629E-1,1.373543701E0,9.017098846E0,9.160988490E0
1.397702208E0,-9.955796814E-1,9.921368408E-1,9.167086945E0,9.274211420E0
1.407726208E0,-1.424288177E0,1.137634277E0,9.071286163E0,9.252623478E0
1.417750208E0,-1.585353241E0,1.510508881E0,9.278305664E0,9.533201874E0
1.427775208E0,-1.517394562E0,1.685195618E0,9.641151123E0,9.904249871E0
1.437799208E0,-1.368603973E0,1.668879547E0,9.517957306E0,9.759597689E0
1.447823208E0,-1.152004395E0,1.569635925E0,9.190438385E0,9.394414765E0
1.457847208E0,-1.027164001E0,1.691033478E0,8.863518219E0,9.081663687E0
1.467871208E0,-9.386979675E-1,1.898951111E0,8.314759369E0,8.580349210E0
1.477896208E0,-1.047821045E0,1.844614105E0,8.064180450E0,8.338557218E0
1.487920208E0,-1.272803192E0,1.858235779E0,8.084388428E0,8.392282432E0
1.497944208E0,-1.452729034E0,1.990859985E0,8.107739868E0,8.474042182E0
1.507968208E0,-1.581910400E0,2.068249054E0,7.934550018E0,8.350878915E0
1.517992208E0,-1.623673553E0,2.031425629E0,7.668403473E0,8.097371037E0
1.528017208E0,-1.575324097E0,1.951042786E0,7.626790009E0,8.028458121E0
1.538041208E0,-1.478774872E0,1.991608429E0,7.678582306E0,8.069318774E0
1.548065208E0,-1.430425415E0,1.961670685E0,7.779622192E0,8.149649698E0
1.558089208E0,-1.529669037E0,2.049088898E0,7.899672546E0,8.303221002E0
1.568113208E0,-1.517993317E0,2.189646606E0,7.954907684E0,8.389243842E0
1.578138208E0,-1.477876740E0,2.247276764E0,7.936346283E0,8.379735368E0
1.588162208E0,-1.510957947E0,2.258503418E0,7.890691223E0,8.345468206E0
1.598186208E0,-1.563947754E0,2.279609528E0,7.981851654E0,8.447041376E0
1.608210208E0,-1.609004059E0,2.383792877E0,8.059839478E0,8.557591656E0
1.618234208E0,-1.758243713E0,2.469564514E0,8.123157806E0,8.670401524E0
1.628258208E0,-1.890269165E0,2.548899536E0,8.156538391E0,8.752092600E0
1.638283208E0,-2.015858002E0,2.597248993E0,8.182883606E0,8.818671664E0
1.648307208E0,-2.111359406E0,2.639910278E0,8.300688629E0,8.962611033E0
1.658331208E0,-2.181413727E0,2.661615143E0,8.451125793E0,9.124926750E0
1.668355208E0,-2.145638123E0,2.697241058E0,8.646319885E0,9.307938539E0
1.678379208E0,-2.023791504E0,2.733316040E0,8.864416351E0,9.494452374E0
1.688404208E0,-1.875300293E0,2.723586273E0,9.180109863E0,9.757514565E0
1.698428208E0,-1.763333130E0,2.749632111E0,9.433083801E0,9.982629437E0
1.708452208E0,-1.745819550E0,2.806214447E0,9.807155914E0,1.034905950E1
