"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.592073673E0,-1.635393620E0,-7.668004036E-1,-2.913005829E0,3.427549870E0
1.612022079E0,-2.776358128E0,-1.564642668E0,-6.108564377E0,6.889907828E0
1.631968531E0,-3.810881376E0,-2.664457560E0,-6.088557243E0,7.661114818E0
1.651919296E0,-5.165847778E0,-3.766779423E0,-5.610987186E0,8.506338090E0
1.671868353E0,-7.571268082E0,-4.212320328E0,-8.467763901E0,1.211489861E1
1.691816473E0,-8.591132164E0,-4.787349701E0,-1.003435898E1,1.405043163E1
1.711765408E0,-9.124169350E0,-5.948151112E0,-9.147326469E0,1.422338038E1
1.731713732E0,-1.024487495E1,-7.014073849E0,-7.951214790E0,1.474369395E1
1.751662056E0,-9.559042931E0,-7.235052586E0,-7.693092823E0,1.424447138E1
1.771610665E0,-8.695559502E0,-7.149271488E0,-6.884951115E0,1.319573377E1
1.791540678E0,-9.038594246E0,-7.219763756E0,-6.924790382E0,1.348235500E1
1.811508005E0,-1.011591911E1,-6.637250900E0,-6.900714397E0,1.392855980E1
1.831457631E0,-1.060670567E1,-5.290907383E0,-6.064236641E0,1.331431080E1
1.851405263E0,-9.785343170E0,-3.761502028E0,-5.296454906E0,1.174539369E1
1.871334666E0,-7.329306126E0,-2.742453575E0,-5.624722481E0,9.637286074E0
1.891300650E0,-4.283523560E0,-2.027979374E0,-6.729321003E0,8.230737244E0
1.911276440E0,4.031319618E-1,-7.444608212E-1,-7.250264168E0,7.299525176E0
1.931216382E0,3.413484097E0,1.242984295E0,-6.547266960E0,7.487562239E0
1.951128817E0,5.912316799E0,8.176622391E-1,-5.361833572E-1,5.992624973E0
1.971077914E0,1.226724720E1,5.883562565E-1,7.717218876E0,1.450472282E1
1.991046054E0,2.372763824E1,2.445373058E0,1.452304840E1,2.792668260E1
2.010993850E0,3.064057732E1,5.587633133E0,2.277631187E1,3.858532111E1
2.030943435E0,2.619399452E1,1.301616430E0,2.551389313E1,3.658931944E1
