"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.854891667E-1,-1.161094037E-1,-6.657180735E-1,1.485432512E-1,6.919010367E-1
6.954701667E-1,-4.097342813E-1,-9.106759174E-1,-9.353469282E-1,1.368242188E0
7.054521667E-1,-5.368778195E-1,-1.276281847E0,-1.272584506E0,1.880586204E0
7.154331667E-1,-8.724083760E-1,-1.619097522E0,-1.230690376E0,2.212955481E0
7.254151667E-1,-1.245580310E0,-1.959790366E0,-1.030754192E0,2.540610713E0
7.353961667E-1,-1.521624145E0,-2.252547590E0,-6.937481636E-1,2.805458465E0
7.453781667E-1,-1.519784465E0,-2.307163362E0,-4.677369064E-1,2.802057353E0
7.553591667E-1,-9.383629221E-1,-2.088840462E0,-3.382082158E-1,2.314770885E0
7.653401667E-1,2.815245399E-1,-1.201294814E0,1.913460392E-1,1.248590647E0
7.753221667E-1,1.054873372E0,4.737267941E-2,7.966796243E-1,1.322762422E0
7.853031667E-1,1.050073685E0,7.345479879E-1,1.140628052E0,1.715589649E0
7.952851667E-1,1.382239973E0,9.933562776E-1,1.389767970E0,2.197452855E0
8.052661667E-1,1.397146864E0,8.331513396E-1,9.518009931E-1,1.884697760E0
8.152481667E-1,1.380788986E0,7.021845263E-1,3.338058472E-2,1.549437187E0
8.252291667E-1,1.002653204E0,6.368377984E-1,-8.118221587E-1,1.438725494E0
8.352111667E-1,7.145498525E-1,5.751952815E-1,-1.400177768E0,1.673896319E0
8.451921667E-1,6.269736917E-1,6.665021852E-1,-2.019601389E0,2.217230467E0
8.551741667E-1,3.947907715E-1,1.025523273E0,-2.700677467E0,2.915684571E0
8.651551667E-1,9.430939043E-1,1.131351444E0,-3.016834663E0,3.357182388E0
8.751371667E-1,1.534312311E0,1.348238414E0,-3.279910836E0,3.863893914E0
8.851181667E-1,2.059635667E0,1.410416535E0,-3.497920763E0,4.297304219E0
8.951001667E-1,1.481008070E0,9.345367965E-1,-4.018912940E0,4.383880147E0
9.050811667E-1,-1.025739035E0,-1.647968442E0,-4.442301055E0,4.847883993E0
9.150621667E-1,6.699385207E-2,-1.377708088E0,-4.641223916E0,4.841851628E0
9.250441667E-1,6.668021473E-1,2.812949270E-2,-3.406719401E0,3.471477128E0
9.350251667E-1,2.283156814E-2,6.732659519E-1,-2.043973169E0,2.152123286E0
9.450071667E-1,1.872953988E-1,7.735009691E-1,-1.629614325E0,1.813567248E0
9.549881667E-1,1.245675839E-1,4.550373387E-1,-2.142951912E0,2.194269573E0
9.649701667E-1,-4.984300377E-1,1.955194893E-1,-2.498141611E0,2.554872185E0
9.749511667E-1,-1.012265661E0,1.334917872E-1,-2.390069278E0,2.599025391E0
9.849331667E-1,-1.276113155E0,3.601500387E-1,-1.790637873E0,2.228128548E0
