"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.049762500E-1,1.832070951E0,5.845204210E-1,-3.236077183E-1,1.950094881E0
6.149572500E-1,1.700229979E0,4.464426626E-1,-1.997636908E-1,1.769180195E0
6.249392500E-1,1.574581793E0,4.518650781E-1,-1.471276402E-1,1.644729891E0
6.349212500E-1,1.382012808E0,3.658661306E-1,-1.288960218E-1,1.435420361E0
6.449032500E-1,1.160529050E0,1.515971057E-1,-1.005072051E-1,1.174696155E0
6.548852500E-1,8.992061654E-1,-7.485313118E-2,-1.166244704E-1,9.098219530E-1
6.648662500E-1,5.353093770E-1,-2.913087223E-1,-1.175249416E-1,6.206681986E-1
6.748482500E-1,2.763692325E-1,-3.261018482E-1,-1.953525513E-1,4.699840289E-1
6.848301667E-1,1.120227116E-1,-2.008169205E-1,-2.341260231E-1,3.281638587E-1
6.948121667E-1,9.356772959E-2,-9.428211316E-2,-2.762575507E-1,3.065326593E-1
7.047941667E-1,1.531841862E-1,1.345341995E-2,-3.676331592E-1,3.984978408E-1
7.147761667E-1,2.359059155E-1,6.382075086E-2,-2.518653059E-1,3.509427610E-1
7.247571667E-1,3.284807879E-1,1.056907618E-1,1.033015895E-1,3.601963125E-1
7.347391667E-1,4.522289211E-1,2.340184343E-1,4.862287259E-1,7.040553945E-1
7.447211666E-1,5.022898579E-1,5.003292865E-1,7.839765483E-1,1.056997504E0
7.547031667E-1,1.544752514E-1,-1.744996262E-1,5.079066932E-1,5.588219143E-1
7.646851667E-1,-5.518134356E-2,-7.565979843E-1,1.821688342E-1,7.801736824E-1
7.746661667E-1,1.184207350E-1,-5.708043149E-1,-6.986019373E-2,5.871298690E-1
7.846481666E-1,3.000978184E-1,-1.612827261E-1,-1.660609245E-1,3.790079801E-1
7.946301667E-1,2.931992733E-1,-1.258313499E-1,-9.770112634E-2,3.336837614E-1
8.046121667E-1,2.687245828E-1,-1.090907715E-1,-1.693821430E-2,2.905178152E-1
8.145941666E-1,3.353758246E-1,-1.159941405E-3,4.028497696E-2,3.377886448E-1
8.245751667E-1,5.310692686E-1,1.369115312E-1,2.075784945E-1,5.864027343E-1
8.345571666E-1,7.976742357E-1,2.337463926E-1,5.424263155E-1,9.925461552E-1
8.445391667E-1,1.322161878E0,4.514110418E-1,4.217006081E-1,1.459354434E0
8.545211666E-1,1.696572253E0,6.459979002E-1,-4.879676878E-2,1.816053915E0
8.645031667E-1,1.553724190E0,6.616858336E-1,-5.675097013E-1,1.781559503E0
8.744851667E-1,1.253886865E0,5.242724651E-1,-7.320673066E-1,1.543702183E0
8.844661667E-1,1.010946164E0,3.224259961E-1,-9.177719522E-1,1.402952610E0
8.944481667E-1,6.409103841E-1,1.296383259E-1,-1.287957421E0,1.444439869E0
9.044301666E-1,4.475026166E-1,-1.657393277E-3,-1.370670964E0,1.441873861E0
9.144121667E-1,4.149429810E-1,-9.011100188E-2,-1.394687233E0,1.457892365E0
9.243941667E-1,4.193240073E-1,-2.363432872E-1,-1.238811573E0,1.329039084E0
9.343751667E-1,3.700223315E-1,-3.727240375E-1,-1.217023678E0,1.325513624E0
9.443571666E-1,3.496889314E-1,-5.485100511E-1,-1.167101321E0,1.336140381E0
9.543391667E-1,4.239979792E-1,-8.285860529E-1,-9.071171558E-1,1.299688681E0
9.643211667E-1,5.134062919E-1,-1.220542971E0,-7.957604420E-1,1.544844926E0
9.743031666E-1,6.135872224E-1,-1.430197958E0,-6.763345706E-1,1.696874754E0
9.842841667E-1,7.761667147E-1,-1.303113696E0,-3.876721519E-1,1.565512623E0
9.942661666E-1,8.247646782E-1,-1.097286297E0,-2.932846427E-1,1.403670144E0
1.004248167E0,7.922445112E-1,-1.124847879E0,-3.425415874E-1,1.417839502E0
1.014230167E0,1.047613761E0,-1.119041886E0,-2.894944775E-1,1.559986021E0
1.024212167E0,1.423792626E0,-7.444608457E-1,1.682945609E-1,1.615466017E0
1.034194167E0,1.595044709E0,-5.044634141E-1,4.865117311E-1,1.742224045E0
1.044175167E0,1.543562898E0,-5.898715370E-1,4.867994142E-1,1.722645791E0
1.054157167E0,1.273223315E0,-6.789009136E-1,2.324426097E-1,1.461517576E0
1.064139167E0,1.031932991E0,-7.947014382E-1,5.031938374E-2,1.303444710E0
1.074121167E0,1.043576259E0,-8.862831610E-1,-7.324690104E-2,1.371099689E0
1.084103167E0,1.204126475E0,-8.543431840E-1,-1.781523818E-1,1.487131842E0
1.094084167E0,1.382754235E0,-7.023673980E-1,-3.819015348E-1,1.597240752E0
1.104066167E0,1.278451602E0,-4.992963027E-1,-6.776197886E-1,1.530654721E0
1.114048167E0,1.497463742E0,4.465657465E-2,-9.015289718E-1,1.748469719E0
1.124030167E0,1.796947311E0,9.396519408E-2,-1.291616024E0,2.214976535E0
1.134012167E0,1.722628615E0,-6.876423548E-1,-1.333076291E0,2.284161499E0
1.143993167E0,2.063136833E0,-1.161721151E0,-1.285922005E0,2.694387691E0
